,total_num,average_revenue,rating,voting_total
James Algar,3.0,438503720.0,6.952335329341317,2505.0
Steve Hickner,2.0,436207765.0,6.152062374245473,1988.0
Roger Michell,3.0,435610622.0,6.645362392295995,1973.0
Victor Fleming,3.0,433890426.0,7.506793893129772,2620.0
Andy Fickman,6.0,422448412.0,5.776207773338177,2753.0
Ariel Schulman,3.0,422229120.0,6.551362437738059,3413.0
Henry Joost,3.0,422229120.0,6.551362437738059,3413.0
Jason Reitman,5.0,419089932.0,6.812730318257956,4776.0
Nick Cassavetes,4.0,415344067.0,7.185586376404496,5696.0
John Landis,6.0,414389798.0,6.926058292852186,2882.0
Tarsem Singh,4.0,410601608.0,5.85978415222948,3521.0
Leslie H. Martinson,2.0,409971124.0,6.920530665506742,2299.0
Sylvester Stallone,2.0,406191526.0,6.111007710715235,3761.0
Martin Brest,4.0,405980393.0,6.745591836734694,2450.0
Tom Hooper,2.0,404211549.0,7.579063360881544,2904.0
Scott Derrickson,4.0,403022766.0,6.099722572509458,3965.0
Catherine Hardwicke,6.0,400791787.0,5.873957313491286,5107.0
Rupert Sanders,1.0,396600000.0,5.799999999999999,3118.0
Louis Leterrier,6.0,396091791.0,6.576662860405366,14012.0
Joe Wright,6.0,395233714.0,6.86832817900673,5497.0
Andrew Davis,4.0,393467527.0,6.570354364736388,2314.0
Gavin Hood,4.0,392728696.0,6.34902612109316,6623.0
Nick Park,2.0,387287396.0,6.607585052983826,1793.0
Mick Jackson,2.0,386006740.0,5.77367405978785,1037.0
Gabriele Muccino,4.0,385244986.0,7.4847772277227715,4848.0
John Moore,4.0,382833469.0,5.30407108906799,4839.0
Eric Goldberg,2.0,381954343.0,6.750085763293311,1749.0
Seth Gordon,4.0,381802442.0,6.0630449988342265,4289.0
Larry Charles,5.0,380952277.0,6.130962962962963,4050.0
Lasse Hallström,9.0,380144542.0,7.136334306345061,6509.0
Ben Stiller,5.0,378781748.0,6.384255206260778,7539.0
Renny Harlin,15.0,378200590.0,5.908976377952755,5715.0
Luc Besson,5.0,377778217.0,6.636858590511285,10855.0
Jeff Tremaine,4.0,375116832.0,6.185551113649344,1751.0
Joel Zwick,2.0,363744044.0,6.022837837837837,740.0
Eric Leighton,1.0,354248063.0,6.2,542.0
Ralph Zondag,1.0,354248063.0,6.2,542.0
Alexander Payne,6.0,354092323.0,6.894492552823,2887.0
Paul Verhoeven,5.0,353289575.0,6.624340770791076,4437.0
D.J. Caruso,4.0,352996231.0,6.231745602165088,3695.0
Barry Cook,3.0,350866772.0,7.3498383185125284,2474.0
Paul Satterfield,2.0,349909150.0,6.946046091278808,2213.0
William Roberts,2.0,349909150.0,6.946046091278808,2213.0
Samuel Armstrong,2.0,349909150.0,6.946046091278808,2213.0
Fergal Reilly,1.0,349779543.0,5.9,1022.0
Clay Kaytis,1.0,349779543.0,5.9,1022.0
Ben Affleck,2.0,349350264.0,7.069985687998365,4891.0
Timur Bekmambetov,4.0,348396458.0,6.001080380293863,4628.0
Florian Henckel von Donnersmarck,2.0,346731369.0,6.685058336469703,2657.0
Mike Gabriel,1.0,346079773.0,6.7,1457.0
Bibo Bergeron,3.0,343707746.0,6.257734604105571,2728.0
Noam Murro,1.0,337580051.0,6.1,2397.0
Neil Burger,4.0,335162912.0,6.944730198800883,6338.0
Zhang Yimou,6.0,334569701.0,7.049082568807339,1526.0
Peter Sohn,1.0,331926147.0,6.599999999999999,1736.0
Richard Curtis,3.0,328380999.0,7.3882659713168195,4602.0
Peter Faiman,1.0,328203506.0,6.3,503.0
Michael Mann,6.0,328131444.0,6.591365271728839,5281.0
Tony Gilroy,3.0,326418121.0,6.05672532060841,3353.0
Sean Anders,4.0,316270797.0,5.923485086342229,3185.0
Will Gluck,3.0,316257886.0,6.542540199470792,4913.0
Roger Spottiswoode,4.0,314496545.0,5.9052664974619296,1576.0
Elizabeth Banks,2.0,313945182.0,6.101132626963829,2737.0
Baltasar Kormákur,3.0,312467995.0,6.549697409828129,4131.0
Paul Tibbitt,1.0,311594032.0,5.8,719.0
Gus Van Sant,8.0,310850452.0,7.479697624190065,4630.0
Josh Boone,1.0,307166834.0,7.6,3759.0
Peter Ramsey,1.0,306941670.0,7.1,1922.0
Mark Dindal,3.0,305326989.0,6.58454027664768,2458.0
James DeMonaco,3.0,304699354.0,6.22907876230661,5688.0
Frank Darabont,4.0,304355217.0,8.20449421965318,13840.0
Tony Bancroft,1.0,304320254.0,7.6,2008.0
Bruce Beresford,4.0,303854305.0,6.709554140127389,785.0
Jake Kasdan,4.0,302564490.0,5.4332487309644675,3546.0
Peter Chelsom,5.0,300562334.0,6.226536731634184,1334.0
John R. Leonetti,2.0,300150674.0,5.371116225546604,1738.0
P.J. Hogan,1.0,299288605.0,6.3,584.0
Peter Lord,2.0,298172925.0,6.475459317585302,1524.0
Josh Trank,2.0,297977596.0,5.410443864229765,4213.0
Keenen Ivory Wayans,4.0,293294692.0,5.709062980030722,1953.0
Hoyt Yeatman,1.0,292817841.0,5.1,510.0
Alan J. Pakula,2.0,291075603.0,6.124508320726172,661.0
Wes Anderson,7.0,290240282.0,7.672568674698796,10375.0
George P. Cosmatos,3.0,290060037.0,6.741905396402399,1501.0
Donald Petrie,8.0,288836723.0,5.939642276422764,3075.0
Michel Gondry,4.0,288793969.0,7.196881419234361,5355.0
Karey Kirkpatrick,2.0,288397247.0,6.233443708609271,1208.0
Michael Patrick King,1.0,288347692.0,5.4,426.0
Harold Ramis,8.0,288182770.0,6.575490386482811,5149.0
James L. Brooks,3.0,287888285.0,6.516854678168547,1507.0
Mikael Håfström,4.0,287121418.0,6.452282692803714,3877.0
Mel Brooks,6.0,286828761.0,7.103112413035517,2731.0
David Soren,1.0,282570682.0,6.1,1074.0
Sharon Maguire,1.0,281929795.0,6.5,1356.0
David R. Ellis,5.0,278164703.0,5.622615894039735,3020.0
Dave Green,2.0,277923848.0,5.7768555466879485,1253.0
Terence Young,4.0,276444423.0,6.80035335689046,2264.0
Nora Ephron,3.0,275361994.0,6.365655172413794,1450.0
Thor Freudenthal,3.0,273313709.0,5.881678004535147,2205.0
Scott Waugh,2.0,272550402.0,6.143056272586474,1937.0
Steven Quale,2.0,271489837.0,5.851455733808675,1683.0
Stanley Kubrick,6.0,269198854.0,7.858416416610202,10331.0
Norman Wright,1.0,267447150.0,6.8,1405.0
Graham Heid,1.0,267447150.0,6.8,1405.0
Brian A Miller,1.0,266586800.0,4.6,218.0
Hayden Schlossberg,2.0,266482707.0,6.123576850094876,2108.0
Jon Hurwitz,2.0,266482707.0,6.123576850094876,2108.0
Stephen Norrington,2.0,265448734.0,6.198039215686275,3060.0
Randal Kleiser,3.0,264960036.0,6.886581920903955,2124.0
Brian Helgeland,5.0,263667607.0,6.6440713853599505,3306.0
J.B. Rogers,2.0,262553595.0,5.9594536304816685,1391.0
Luis Llosa,2.0,262248349.0,4.971289274106176,923.0
Jesse Dylan,3.0,261675071.0,5.99671700590939,1523.0
Gary Winick,5.0,260860446.0,6.216914321846348,3163.0
Frank Marshall,4.0,259420184.0,6.3295774647887315,1562.0
Chris Noonan,2.0,259213151.0,6.048398169336385,874.0
Paul King,1.0,259207227.0,7.0,883.0
Tyler Perry,9.0,258997177.0,6.228051948051949,385.0
Eric Brevig,2.0,258286201.0,5.713669064748202,1529.0
Peter Cattaneo,4.0,258253678.0,6.436126629422718,537.0
Stephen Daldry,5.0,257865001.0,7.140350877192983,2964.0
George Roy Hill,2.0,256425216.0,7.644496855345912,1272.0
Stephen Frears,10.0,254551142.0,6.90872274143302,2568.0
Dominic Sena,3.0,254488740.0,6.033257489571483,2637.0
Joe Dante,7.0,253199512.0,6.427719491993376,3622.0
George Clooney,5.0,252390393.0,6.159048537447767,3111.0
